--- MoorPy Bathymetry Input File ---
nGridX 21
nGridY 21
	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
-5000	192.2	194.42	195.78	194.05	197.36	196.22	197.37	198.33	197.82	200.99	200.35	200.87	200.53	202.5	201.89	202.75	203.41	204.78	203.72	206.2	207.36
-4500	194.98	194.55	196.14	196.04	196.9	197.67	198.88	198.48	199.04	200.02	200.99	201.23	199.83	200.36	202.83	203.24	206.34	203.47	206.42	207.33	208.68
-4000	194	195.4	195.35	195.69	197.49	198.33	198.3	200.51	199.52	200.34	201.58	203.46	203.02	203.51	203.18	204.87	206.26	204.95	204.04	205.46	206.74
-3500	194.16	196.03	196.04	197.33	196.74	199.13	198.77	200.43	200.95	202.41	201.22	202.73	202.77	203.57	204.57	206.03	204.7	208.39	207.71	208.79	209.46
-3000	194.35	195.06	197	198.19	198.85	199.02	200.39	200.36	201.83	202.93	202.61	204.13	203.2	203.89	204.93	206.44	205.36	206.2	207.47	208.36	209.82
-2500	194.84	198.21	197.96	198.65	199.05	201.06	199.84	201.71	202.14	203.02	203.73	204.07	205.27	204.91	205.67	206.32	207.32	208.35	210.21	208.82	208.29
-2000	196.56	200.27	198.75	199.36	201.81	200.09	203.31	201.98	202.48	203.44	205.18	203.92	203.1	206.1	205.52	207.54	208.3	207.84	209.44	207.01	210.27
-1500	196.34	199.06	200.3	200.57	199.74	201.84	203.44	202.91	202.51	205.53	206.42	206.8	204.45	206.54	206.18	206.71	210.69	209.42	209.37	209.53	210.86
-1000	200.21	199.63	199.84	200.3	201.47	202.5	202.87	204.4	203.02	202.95	206.49	206.53	207.11	207.28	209.22	207.75	209.29	209.51	209.65	212.16	211.32
-500	198.75	198.21	203.21	202.11	202.16	200.01	202.27	204.78	204.76	205.09	205.84	204.82	209.3	206.85	206.62	209.83	208.37	209.36	211.37	210.83	212.87
0	198.9	201.12	200.9	201.9	200.37	204.32	204.91	203.86	206.9	206.38	206.2	207.1	207.08	208.57	209.8	209.98	211.03	211.3	212.49	212.42	211.64
500	200.7	200.61	201.06	203.15	203.78	205.13	204.48	205.82	206.26	205.47	206.91	207.45	206.78	209.31	211.52	209.54	211.03	212.35	211.79	212.54	213.55
1000	202.12	201.62	201.21	202.69	204.4	204.62	205.63	203.96	208.46	206.8	209.43	209.47	208.8	209.64	209.44	211	211.47	212.35	213.94	213	213.18
1500	200.88	201.71	202.87	203.26	203.82	205.35	204.79	206.34	207.04	206.08	206.74	209.28	209.79	211.41	211.77	211.48	212.43	212.62	214.73	212.51	216.3
2000	201.86	203.5	205.48	202.83	205.17	206.92	205.65	207.11	206.25	207.7	209.84	208.32	210.05	210.78	211.28	212.49	213.62	213.31	214	213.72	216.6
2500	203.31	204.93	203.04	206.21	206.58	207.03	205.39	208.15	208.48	208.5	209.75	209.71	210.43	211	212.54	213.66	214.67	214.94	216.49	216.71	215.06
3000	202.63	207.41	206.07	205.8	204.06	206.11	207.58	209.16	208.2	210.6	209.47	210.3	212.38	211.26	213.76	214.56	213.71	214.96	214.68	215.53	217.59
3500	203.57	205.56	206.15	205.94	206.73	207.6	206.98	209.73	208.07	210.64	210.15	210.94	212.99	212.88	212.92	215.43	213.84	214.76	217.16	215.75	216.18
4000	205.83	206.57	206.17	207.73	206.31	209.36	211.25	210.42	211.35	210.77	211.63	211.18	211.96	212.96	214.4	214.61	215.86	215.47	216.98	216.4	218.99
4500	207.15	204.9	207.67	205.55	207.54	211.33	207.91	210.61	211.37	211.49	212.43	214.55	212.24	214.03	215.97	215.85	215.96	217.28	216.94	219.44	218.32
5000	207.17	210.63	208.28	208.94	208.47	210.76	209.89	210.01	211.2	210.91	212.2	213.47	214.43	215.94	215.21	214.32	218.94	217.45	217.44	219.35	218.86


