,wd,ws,freq_val
0.0,0.0,3.0,0.000597488376135228
1.0,0.0,4.0,0.0008201885890583583
2.0,0.0,5.0,0.0009777082518576457
3.0,0.0,6.0,0.0009614131143266849
4.0,0.0,7.0,0.0010863425020640508
5.0,0.0,8.0,0.0011895450397601355
6.0,0.0,9.0,0.0012221353148220572
7.0,0.0,10.0,0.0010972059270846913
8.0,0.0,11.0,0.0009777082518576457
9.0,0.0,12.0,0.0007332811888932343
10.0,0.0,13.0,0.0006789640637900317
11.0,0.0,14.0,0.0006083518011558685
12.0,0.0,15.0,0.0004345370008256203
13.0,0.0,16.0,0.0002661539130056924
14.0,0.0,17.0,0.00013579281275800635
15.0,0.0,18.0,0.00015751966279928736
16.0,0.0,19.0,0.00014665623777864684
17.0,0.0,20.0,0.00015751966279928736
18.0,0.0,21.0,0.00011406596271672534
19.0,0.0,22.0,3.802198757224178e-05
20.0,0.0,23.0,4.345370008256203e-05
21.0,0.0,24.0,3.259027506192152e-05
22.0,0.0,25.0,1.629513753096076e-05
23.0,5.0,3.0,0.0007604397514448355
24.0,5.0,4.0,0.0009559814018163646
25.0,5.0,5.0,0.0009994351018989267
26.0,5.0,6.0,0.0011515230521878938
27.0,5.0,7.0,0.0012655890149046191
28.0,5.0,8.0,0.0010428888019814887
29.0,5.0,9.0,0.0009777082518576457
30.0,5.0,10.0,0.0011189327771259723
31.0,5.0,11.0,0.0008962325642028418
32.0,5.0,12.0,0.0006952592013209925
33.0,5.0,13.0,0.0005920566636249076
34.0,5.0,14.0,0.00042910528831530007
35.0,5.0,15.0,0.0004345370008256203
36.0,5.0,16.0,0.0002824490505366532
37.0,5.0,17.0,0.0002715856255160127
38.0,5.0,18.0,0.00024442706296441143
39.0,5.0,19.0,0.00016838308781992787
40.0,5.0,20.0,0.00015751966279928736
41.0,5.0,21.0,0.00015751966279928736
42.0,5.0,22.0,8.690740016512406e-05
43.0,5.0,23.0,6.518055012384304e-05
44.0,5.0,24.0,5.974883761352279e-05
45.0,5.0,25.0,9.233911267544432e-05
46.0,10.0,3.0,0.0007115543388519532
47.0,10.0,4.0,0.0008636422891409204
48.0,10.0,5.0,0.0010646156520227696
49.0,10.0,6.0,0.0012275670273323774
50.0,10.0,7.0,0.00107004736453309
51.0,10.0,8.0,0.0011026376395950116
52.0,10.0,9.0,0.0011243644896362925
53.0,10.0,10.0,0.0008908008516925216
54.0,10.0,11.0,0.0008908008516925216
55.0,10.0,12.0,0.0006898274888106722
56.0,10.0,13.0,0.0005486029635423457
57.0,10.0,14.0,0.00045626385086690134
58.0,10.0,15.0,0.0004128101507843393
59.0,10.0,16.0,0.0002715856255160127
60.0,10.0,17.0,0.00021726850041281016
61.0,10.0,18.0,0.0002552904879850519
62.0,10.0,19.0,0.00015751966279928736
63.0,10.0,20.0,0.00020640507539216964
64.0,10.0,21.0,0.00011949767522704558
65.0,10.0,22.0,6.518055012384304e-05
66.0,10.0,23.0,4.888541259288228e-05
67.0,10.0,24.0,3.259027506192152e-05
68.0,10.0,25.0,1.0863425020640507e-05
69.0,15.0,3.0,0.000684395776300352
70.0,15.0,4.0,0.0007604397514448355
71.0,15.0,5.0,0.0009885716768782862
72.0,15.0,6.0,0.0010972059270846913
73.0,15.0,7.0,0.0010428888019814887
74.0,15.0,8.0,0.0010211619519402077
75.0,15.0,9.0,0.0010157302394298874
76.0,15.0,10.0,0.0009668448268370051
77.0,15.0,11.0,0.0008419154390996393
78.0,15.0,12.0,0.0006735323512797115
79.0,15.0,13.0,0.0005160126884804241
80.0,15.0,14.0,0.00042910528831530007
81.0,15.0,15.0,0.00036935645070177727
82.0,15.0,16.0,0.0003530613131708165
83.0,15.0,17.0,0.0002715856255160127
84.0,15.0,18.0,0.0001412245252683266
85.0,15.0,19.0,0.00011949767522704558
86.0,15.0,20.0,0.00011406596271672534
87.0,15.0,21.0,0.00010863425020640508
88.0,15.0,22.0,5.431712510320254e-05
89.0,15.0,23.0,8.690740016512406e-05
90.0,15.0,24.0,4.345370008256203e-05
91.0,15.0,25.0,2.715856255160127e-05
92.0,20.0,3.0,0.0006789640637900317
93.0,20.0,4.0,0.0009016642767131621
94.0,20.0,5.0,0.0009396862642854039
